en;nl;fr;de;sv;pl;No;es
Logo for quotation document & Login page;Logo voor offertedocument & loginpagina;Logo pour le document de devis et la page de connexion;Logo für Angebotsdokument & Login-Seite;Logotyp för offertdokument och inloggningssida.;Logo dla dokumentu oferty & strony logowania;Logo for tilbudsdokument og påloggingsside;Logotipo para documento de cotización y página de inicio de sesión
Upload a logo here, which will be available in the quotation template XML. This will also be used on the login page;Upload hier een logo, dat beschikbaar zal zijn in de offertesjabloon XML. Deze wordt ook gebruikt op de inlogpagina;Téléchargez un logo ici, qui sera disponible dans le modèle de devis XML. Il sera également utilisé sur la page de connexion;Laden Sie hier ein Logo hoch, das in der XML-Angebotsvorlage verfügbar sein wird. Dieses wird auch auf der Login-Seite verwendet.;Ladda upp en logotyp här, som kommer att finnas tillgänglig i XML-mallen för offertmallen. Den kommer också att användas på inloggningssidan.;Prześlij tutaj logo, które będzie dostępne w szablonie oferty XML. Będzie to również używane na stronie logowania.;Last opp logo her, denne vil være tilgjengelig i tilbudsmalen XML. Dette vil også bli brukt på påloggingssiden;Cargue un logotipo aquí, que estará disponible en el XML de la plantilla de cotización. Esto también se utilizará en la página de inicio de sesión.
Favicon;Favicon;Favicon;Favicon;Favicon;Favicon;Favicon;icono de favoritos
A favicon is small icon that is displayed in the browser tab, and as icon when the page is saved as a bookmark.;Een favicon is een klein pictogram dat wordt weergegeven op het browsertabblad en als pictogram wanneer de pagina wordt opgeslagen als bladwijzer.;Une favicon est une petite icône qui s'affiche dans l'onglet du navigateur, et comme icône lorsque la page est enregistrée comme signet.;Ein Favicon ist ein kleines Symbol, das in der Browserleiste angezeigt wird und als Symbol erscheint, wenn die Seite als Lesezeichen gespeichert wird.;En favicon är en liten ikon som visas i webbläsarens flik och när en sidan sparas som bokmärke.;Favicon to mała ikona, która jest wyświetlana na karcie przeglądarki i jako ikona, gdy strona jest zapisywana jako zakładka.;Et favicon er et lite ikon som vises i nettleserfanen, og som et ikon når siden lagres som et bokmerke.;Un favicon es un icono pequeño que se muestra en la pestaña del navegador y como icono cuando la página se guarda como marcador.
Dashboard background;Dashboard achtergrond;Fond du tableau de bord;Dashboard-Hintergrund;Bakgrund för kontrollpanelen;Tło puplitu nawigacyjnego;Bakgrunn p?ashbordet;Fondo del tablero
The dashboard image is shown in the header on the dashboard page in the EMS.;De dashboardafbeelding wordt weergegeven in de koptekst op de dashboardpagina in het EMS.;L'image du tableau de bord est affichée dans l'en-tête de la page du tableau de bord dans l'EMS.;Das Dashboard-Bild wird in der Überschrift auf der Dashboard-Seite im EMS angezeigt.;Bilden av kontrollpanelen visas i rubriken på kontrollpanelsidan i EMS.;Obraz pulpitu nawigacyzjnego jest wyświetlany na nagłówku na stronie pulpitu nawigacyjnego w pakiecie EMS.;Dashbordbildet vises i toppteksten p?nstrumentbordsiden i EMS.;La imagen del tablero se muestra en el encabezado de la página del tablero en el EMS.
Login background image;Login achtergrondafbeelding;Image d'arrière-plan de la connexion;Login-Hintergrundbild;Bakgrundsbild för inloggning;Obraz tła logowania;Bakgrunnsbilde for p?gging;Imagen de fondo de inicio de sesión
Background image which is displayed at the login page.;Achtergrondafbeelding die wordt weergegeven op de inlogpagina.;Image d'arrière-plan qui s'affiche sur la page de connexion.;Hintergrundbild, das auf der Login-Seite gezeigt wird.;Bakgrundsbild som visas på inloggningssidan.;Obraz tła, który jest wyświetlany na stronie logowania;Bakgrunnsbilde som vises p??ggingssiden.;Imagen de fondo que se muestra en la página de inicio de sesión.
Custom CSS (showroom);Custom CSS (showroom);CSS personnalisé (showroom);Custom CSS (Showroom);Anpassad CSS (showroom);Niestandardowy CSS (showroom);Tilpasset CSS (showroom);CSS personalizado (sala de exposición)
Add your own custom CSS to configure the layout of the showroom to your style.;Voeg  eigen aangepaste CSS toe om de lay-out van de showroom aan je stijl aan te passen.;Ajoutez votre propre CSS personnalisé pour configurer la mise en page de la salle d'exposition selon votre style.;Fügen Sie Ihr eigenes Custom CSS hinzu, um das Layout des Showrooms nach Ihren Vorstellungen zu gestalten.;Lägg till din egen anpassade CSS för att konfigurera layouten i showroomet.;Dodaj własny CSS, aby skonfigurować układ showroom do twojego stylu.;Legg til din egen tilpassede CSS for ?onfigurere utformingen av showroomet til din stil.;Agregue su propio CSS personalizado para configurar el diseño de la sala de exposición a su estilo.
Custom CSS (EMS);Custom CSS (EMS);CSS personnalisé (EMS);Custom CSS (EMS);Anpassad CSS (EMS);Niestandardowy CSS (EMS);Tilpasset CSS (EMS);CSS personalizado (EMS)
There is a very low contrast ratio between the text/background color!;Er is een zeer lage contrastverhouding tussen de tekst / achtergrondkleur!;Le rapport de contraste entre le texte et la couleur d'arrière-plan est très faible !;Es gibt ein sehr geringes Kontrastverhältnis zwischen Text und Hintergrundfarbe!;Kontrastförhållandet mellan text/bakgrundsfärg är lågt!;Istnieje bardzo niski współczynnik kontrastu między tekstem a kolorem tła!;Det er et veldig lavt kontrastforhold mellom tekst / bakgrunnsfarge!;¡Hay una relación de contraste muy baja entre el texto y el color de fondo!
Add your own custom CSS to configure the layout of the EMS to your style.;Voeg uw eigen aangepaste CSS toe om de lay-out van het EMS naar uw stijl te configureren.;Ajoutez votre propre CSS personnalisé pour configurer la mise en page de l'EMS selon votre style.;Fügen Sie Ihr eigenes Custom CSS hinzu, um das Layout des EMS an Ihren Stil anzupassen.;Lägg till din egen anpassade CSS för att konfigurera layouten för EMS.;Dodaj własny CSS, aby skonfigurować układ EMS do twojego stylu.;Legg til din egen tilpassede CSS for ?onfigurere utformingen av EMS til din stil.;Agregue su propio CSS personalizado para configurar el diseño del EMS a su estilo.
Enable showroom;Showroom toestaan;Activer le showroom;Showroom erlauben;Aktivera showroom;Włącz showroom;Aktiver showroom;Habilitar sala de exposición
Enable this to make the showroom accessible.;Zet dit aan om de showroom te activeren;Activez cette option pour rendre le showroom accessible.;Aktivieren Sie dies, um den Showroom zugänglich zu machen;Slå på knappen för att göra showroomet tillgängligt.;Włącz to aby showroom był dostępny.;Aktiver denne for ?jøre showroom tilgjengelig.;Permitir que la sala de exposiciones sea accesible
Require login;Verplichte login;Exiger une connexion;Login verlangen;Kräver inloggning;Wymagaj logowania;Krever innlogging;Requerir inicio de sesión
Enable a login for the showroom to only allow users with an account.;Zet dit aan om alleen gebruikers met een account toe te staan in de showroom.;Activez une connexion pour le showroom afin de n'autoriser que les utilisateurs possédant un compte.;Aktivieren Sie ein Login für den Showroom, um nur Benutzer mit einem Konto zuzulassen.;Aktivera en inloggning för showroomet för att endast tillåta användare med ett konto.;Włącz logowanie do showroom, aby zezwolić tylko użytkownikom z kontem.;Aktiver en p?gging for showroom for ?un tillate brukere med konto.;Habilite un inicio de sesión para la sala de exposición para permitir solo a los usuarios con una cuenta.
Checkout;Afrekenen;Vérifier;Zur Kasse;Checkout;Kontrola;G?il kasse;Verificar
Configure what is shown on the checkout page when a logged in user creates a quotation.;Configureer wat wordt weergegeven op de afrekenpagina wanneer een ingelogde gebruiker een offerte maakt.;Configurez ce qui s'affiche sur la page de paiement lorsqu'un utilisateur connecté crée un devis.;Konfigurieren Sie, was auf der Checkout-Seite angezeigt wird, wenn ein angemeldeter Benutzer ein Angebot erstellt.;Konfigurera vad som visas på checkout-sidan när en inloggad användare skapar en offert.;Skonfiguruj to, co jest wyświetlane na stronie realizacji zakupu, gdy zalogowany użytkownik tworzy ofertę.;Konfigurer hva som vises p?etalingssiden n?en p?gget bruker oppretter et tilbud.;Configure lo que se muestra en la página de pago cuando un usuario registrado crea una cotización.
These settings do not apply to sub-organizations. Sub-organizations have their own settings.;Deze instellingen zijn niet van toepassing op suborganisaties. Suborganisaties hebben hun eigen instellingen.;Ces paramètres ne s'appliquent pas aux sous-organisations. Les sous-organisations ont leurs propres paramètres.;Diese Einstellungen gelten nicht für Sub-Organisationen. Sub-Organisationen haben ihre eigenen Einstellungen.;Inställningar gäller inte för suborganisationer. Suborganisationer har sina egna inställningar.;Te ustawienia nie mają zastosowania do firmy zależnych. Firmy zależne mają swoje własne ustawienia.;Disse innstillingene gjelder ikke for underorganisasjoner. Underorganisasjoner har sine egne innstillinger.;Esta configuración no se aplica a las suborganizaciones. Las suborganizaciones tienen su propia configuración.
Shipping address;Afleveradres;Adresse de livraison;Lieferadresse;Leveransadress;Adres wysyłki;Leveringsadresse;Dirección de envío
Quotation;Offerte;Devis;Angebot;Offert;Offerta;tilbud;cotización
Enable multiple configurations;Meerdere configuraties toestaan;Activer plusieurs configurations;Mehrere Konfigurationen zulassen;Aktivera flera konfigurationer;Włączenie wielu konfigracji.;Aktiver flere konfigurasjoner;Habilitar múltiples configuraciones
Enable multiple configurations at the same time in the showroom.;Sta meerdere configuraties tegelijk toe in de showroom.;Activez plusieurs configurations en même temps dans le showroom.;Mehrere Konfigurationen können gleichzeitig im Showroom eingestellt werden.;Aktivera flera konfigurationer samtidigt i showroomet.;Włącz wiele konfiguracji jednocześnie w showroom;Aktiver flere konfigurasjoner samtidig i utstillingslokalet.;Habilite múltiples configuraciones al mismo tiempo en la sala de exposición.
Enable different ship to address;Afwijkend afleveradres toestaan;Activer une adresse de livraison différente;Verschiedene Lieferadressen zulassen;Aktivera olika leveransadresser;Włączenie różnych adresów wysyłki.;Aktiver forskjellige forsendelser til adresser;Habilitar diferentes direcciones de envío
Showroom address(es);Showroom adressen;Adresse(s) du showroom;Adresse(n) des Showrooms;Adress(er) till showroom;Adres/y showroom/ów;Showroom-adresse(r);Dirección(es) de la sala de exposición
Add more endpoints to gain access to the showroom for the specified URL. Requires DNS settings at the domain registrar.;Voeg meer domeinen toe om toegang te krijgen tot de showroom voor de opgegeven URL. Vereist DNS-instellingen bij de domeinregistreerder.;Ajoutez des points d'extrémité supplémentaires pour accéder au showroom pour l'URL spécifiée. Nécessite des paramètres DNS chez le registraire de domaine.;Fügen Sie weitere Endpunkte hinzu, um für die angegebene URL Zugang zum Showroom zu erhalten. Erfordert DNS-Einstellungen bei der Domänenregistrierungsstelle.;Lägg till fler ändpunkter för att få tillgång till showroomet för den angivna URL:en. Kräver DNS-inställningar hos domänregistreraren.;Dodaj więcej punktów końcowych, aby uzyskać dostęp do showroom dla określonego adresu URL. Wymaga ustawień DNS u rejestratora domen.;Legg til flere endepunkter for ??ilgang til showroomet for den angitte URL-adressen. Krever DNS-innstillinger hos domeneregistratoren.;Agregue más puntos finales para obtener acceso a la sala de exposición de la URL especificada. Requiere configuración de DNS en el registrador de dominio.
Domain name;Domein naam;Nom de domaine;Domain-Name;Domännamn;Nazwa domeny;Domenenavn;Nombre de dominio
Organization(s);Organisatie(s);Organisation(s);Organisation(en);Organisation(er);Organizacja/e;Organisasjon(er);Organización(es)
Receive configuration e-mail;Configuratie e-mail ontvangen;Recevoir un e-mail de configuration;Konfigurations-E-Mail erhalten;Ta emot e-post för konfiguration;Odbierz mail konfiguracyjny;Motta konfigurasjons-e-post;Recibir correo electrónico de configuración
When a quotation is requested in the showroom, a copy of the configuration will be send to this mail address.;Bij een offerte aanvraag in de showroom wordt een kopie van de configuratie naar dit mailadres gestuurd.;Lorsqu'un devis est demandé dans le showroom, une copie de la configuration est envoyée à cette adresse e-mail.;Wenn ein Angebot im Showroom angefordert wird, wird eine Kopie der Konfiguration an diese E-Mail-Adresse gesendet.;När en offert begärs i showroomet skickas en kopia av konfigurationen till den här e-postadressen.;Gdy potrzebna jest oferta w showroom, kopia konfiguracji zostanie wysłana na ten adres email.;N?et tilbud blir forespurt i showroom, vil en kopi av konfigurasjonen bli sendt til denne e-postadressen.;Cuando se solicite una cotización en el showroom, se enviará una copia de la configuración a esta dirección de correo.
Quotation requested action;Offerte aanvraag actie;Action de demande de devis;Angebot angefragt Aktion;Åtgärd för begärd offert;Akcja żądania oferty;Handling for forespurt tilbud;Cotización solicitada acción
Select an action that occurs when a quotation is requested.;Selecteer een actie die plaatsvindt wanneer een offerte wordt aangevraagd.;Sélectionnez une action qui se produit lorsqu'un devis est demandé.;Wählen Sie eine Aktion aus, die ausgeführt wird, wenn ein Angebot angefordert wird.;Välj en åtgärd som vidtas när en offert begärs.;Wybierz akcję, która ma być wykonywana podczas żadania oferty.;Velg en handling som oppst?n?du ber om et tilbud.;Seleccione una acción que ocurra cuando se solicite una cotización.
Require offered to;Vereist aangeboden aan;Obligation offerte à;Aufforderung zur Angebotsabgabe;Kräver att erbjudandet ska;Wymagaj oferty do;Krev tilbudt ?;Requerir ofrecido a
Require the user to fill in his contact details when requesting a quotation.;Vereisen dat de gebruiker zijn contactgegevens invult bij het aanvragen van een offerte.;Demandez à l'utilisateur de remplir ses coordonnées lorsqu'il demande un devis.;Der Benutzer wird aufgefordert, seine Kontaktdaten einzugeben, wenn er ein Angebot anfordert.;Kräver att användaren fyller i sina kontaktuppgifter när han eller hon begär en offert.;Wymagaj od użytkownika podania swoich danych kontaktowych podczas składania zapytania o ofertę.;Krev at brukeren fyller ut kontaktinformasjonen sin n?han ber om et tilbud.;Requerir que el usuario complete sus datos de contacto al solicitar una cotización.
Submit e-mail to customer;Verzend e-mail naar klant;Envoyer un e-mail au client;E-Mail an den Kunden senden;Skicka e-post till kunden;Wyślij email do klienta;Send e-post til kunden;Enviar correo electrónico al cliente
Send a confirmation e-mail to the customer when a quotation is requested.;Stuur een bevestigingsmail naar de klant wanneer een offerte wordt aangevraagd.;Envoyez un e-mail de confirmation au client lorsqu'un devis est demandé.;Senden Sie eine Bestätigungs-E-Mail an den Kunden, wenn ein Angebot angefordert wird.;Skicka ett bekräftelsemail till kunden när en offert begärs.;Wyślij email z potwierdzeniem do klienta, gdy będzie zapytanie o ofertę.;Send en bekreftelses-e-post til kunden n?det bes om tilbud.;Enviar un correo electrónico de confirmación al cliente cuando se solicite una cotización.
Attach PDF to e-mail;Voeg PDF toe aan e-mail;Joindre un PDF à un e-mail;PDF an E-Mail anhängen;Bifoga PDF-fil till e-post;Załącz plik PDF do maila;Legg ved PDF i e-post;Adjuntar PDF al correo electrónico
Attach a PDF to the e-mail, which is send to the customer when a quotation is requested.;Voeg een PDF toe aan de e-mail, die naar de klant wordt gestuurd wanneer een offerte wordt aangevraagd.;Joignez un PDF à l'e-mail qui est envoyé au client lorsqu'il demande un devis;Hängen Sie eine PDF an die E-Mail an, die an den Kunden gesendet wird, wenn ein Angebot angefordert wird.;Bifoga en PDF-fil till e-postmeddelandet som skickas till kunden när en offert begärs.;Dołącz PDF do tego maila, który będzie wysłany do klienta, kiedy zapytanie o ofertę będzie złożone.;Legg ved en PDF i e-posten, som sendes til kunden n?et tilbud blir forespurt.;Adjunte un PDF al correo electrónico, que se envía al cliente cuando se solicita una cotización.
Confirmation mail template;Bevestigingsmail template;Modèle de courrier de confirmation;Vorlage für Bestätigungsmail;Mall för bekräftelsemail;Szablon email z potwierdzeniem;E-postmal for bekreftelse;Plantilla de correo de confirmación
This text is the e-mail that is send to the customer when a quotation is requested.;Deze tekst is de e-mail die naar de klant wordt gestuurd wanneer een offerte wordt aangevraagd.;Ce texte est l'e-mail qui est envoyé au client lorsqu'un devis est demandé.;Dieser Text ist die E-Mail, die an den Kunden gesendet wird, wenn ein Angebot angefordert wird.;Den här texten är det e-postmeddelande som skickas till kunden när en offert begärs.;Ten tekst jest w mailu wysyłanym do klienta, gdy wymagana jest oferta.;Denne teksten er e-posten som sendes til kunden n?det bes om et tilbud.;Este texto es el correo electrónico que se envía al cliente cuando se solicita una cotización.
User request quote message;Gebruiker offerte aanvraag bericht;Message de demande de devis de l'utilisateur;Nachricht zur Angebotsanforderung;Meddelande om användarens begäran om offert;Komunikat z prośbą użytkownika o wycenę;Melding om tilbud p?rukerforespørsel;Mensaje de cotización de solicitud de usuario
This text is displayed after the customer has requested a quotation.;Deze tekst wordt weergegeven nadat de klant een offerte heeft aangevraagd.;Ce texte s'affiche après que le client a demandé un devis.;Dieser Text wird angezeigt, nachdem der Kunde ein Angebot angefordert hat.;Den här texten visas när kunden har begärt en offert.;Ten tekst jest wyświetlany po złożeniu przez klienta prośby o ofertę.;Denne teksten vises etter at kunden har bedt om et tilbud.;Este texto se muestra después de que el cliente haya solicitado una cotización.
Enable welcome page;Welkomstpagina inschakelen;Activer la page de réception;Begrüßungsseite zulassen;Aktivera välkomstsida;Włącz stronę powitalną;Aktiver velkomstsiden;Habilitar página de bienvenida
Enable product selection page;Productkeuzepagina inschakelen;Activer la page de sélection des produits;Produktauswahlseite zulassen;Aktivera sidan för produktval;Włącz stronę wyboru produktu;Aktiver produktvalgsiden;Habilitar la página de selección de productos
Displays a product selection page, in which the user can search and select a product to configure. This option is enabled by default. If this option is disabled, a user will only be able to visit the configurator with a direct URL.;Geeft een productselectiepagina weer waarin de gebruiker kan zoeken en een product kan selecteren om te configureren. Deze optie is standaard ingeschakeld. Als deze optie is uitgeschakeld, kan een gebruiker de configurator alleen bezoeken met een directe URL.;Affiche une page de sélection de produits, dans laquelle l'utilisateur peut rechercher et sélectionner un produit à configurer. Cette option est activée par défaut. Si cette option est désactivée, l'utilisateur ne pourra visiter le configurateur qu'avec une URL directe.;Zeigt eine Produktauswahlseite an, auf der der Benutzer ein zu konfigurierendes Produkt suchen und auswählen kann. Diese Option ist standardmäßig aktiviert. Wenn diese Option deaktiviert ist, kann ein Benutzer den Konfigurator nur über eine direkte URL besuchen.;Visar en produktvalssida där användaren kan söka och välja en produkt som ska konfigureras. Det här alternativet är aktiverat som standard. Om det här alternativet är inaktiverat kan en användare endast besöka konfiguratorn med en direkt URL.;Wyświetla stronę wyboru produktu, na której użytkownik może wyszukać i wybrać produkt do skonfigurowania. Ta opcja jest domyślnie włączona. Jeśli opcja jest wyłączona, użytkownik będzie mógł odwiedzać konfigurator tylko za pomocą bezpośredniego adresu URL.;Viser en produktvalg side der brukeren kan søke etter og velge et produkt som skal konfigureres. Dette alternativet er aktivert som standard. Hvis dette alternativet er deaktivert, kan en bruker kun besøke konfiguratoren med en direkte URL-adresse.;Muestra una página de selección de productos, en la que el usuario puede buscar y seleccionar un producto para configurar. Esta opción está activada de forma predeterminada. Si esta opción está deshabilitada, un usuario solo podrá visitar el configurador con una URL directa.
Background image;Achtergrond afbeelding;Image d'arrière-plan;Hintergrundbild;Bakgrundsbild;Obraz tła;Bakgrunnsbilde;Imagen de fondo
Background image which is displayed in the product selection page.;Achtergrondafbeelding die wordt weergegeven op de productselectiepagina.;Image d'arrière-plan qui s'affiche sur la page de sélection des produits.;Hintergrundbild, das auf der Produktauswahlseite angezeigt wird.;Bakgrundsbild som visas på produktvalssidan.;Obraz tła, który jest wyświetlany na stronie wyboru produktu.;Bakgrunnsbilde som vises p?roduktvalgsiden.;Imagen de fondo que se muestra en la página de selección de productos.
Map 3D items to nodes;Wijs 3D-items toe aan nodes;Affecter les éléments 3D aux nœuds;3D-Artikel zu 'Nodes' zuweisen;Mappa 3D-objekt till noder;Mapowanie elementów 3D na karty;Tilordne 3D-elementer til noder;Asignar elementos 3D a nodos
Display after checkout;Tonen na afrekenpagina;Afficher après le passage à la caisse;Display nach dem Checkout;Visas efter utcheckning;Wyświetl po kontroli;Vises etter utsjekking;Mostrar después de pagar
Redirect to url;Omleiden naar url;Redirection vers l'URL;Weiterleitung zur Url;Omdirigera till url;Przekieruj na adres url;Omdiriger til url;Redirigir a URL
Adds a welcome page, which the user will see first, when visiting the showroom.;Voegt een welkomstpagina toe, die de gebruiker als eerste te zien krijgt bij een bezoek aan de showroom.;Ajoute une page de bienvenue, que l'utilisateur verra en premier, lorsqu'il visitera la salle d'exposition.;Fügt eine Begrüßungsseite hinzu, die der Benutzer als erstes sieht, wenn er den Showroom besucht.;Lägg till en välkomstsida som användaren ser först när han eller hon besöker utställningslokalen.;Dodaje stronę powitalną, który użytkownik zobaczy jako pierwszą, odwiedzając showroom.;Legger til en velkomstside, som brukeren vil se først n?han eller hun besøker showroomet.;Agrega una página de bienvenida, que el usuario verá primero, cuando visite la sala de exposición.
By disabling this setting, you will be able to map 3D objects to Features, instead of 'nodes' in the configuration model. Feature 3D mappings (setting disabled) are global, meaning they will be shared between multiple configuration models. This can be used to save setup and maintenance work. Node 3D mappings (setting enabled) are specific to a configuration model.;Door deze instelling uit te schakelen, kun je 3D objecten aan Features koppelen, in plaats van aan 'nodes' in een configuratiemodel. 3D koppelingen op Feature niveau (instelling uit) zijn globaal van aard, wat betekent dat ze tussen meerdere configuratiemodellen worden gedeeld. Dit kan worden gebruikt om instel- en onderhoudstijd te besparen. 3D koppelingen op node niveau (instelling aan) zijn specifiek voor een configuratiemodel.;"En désactivant ce paramètre, vous pourrez associer des objets 3D à des fonctionnalités, au lieu de """"nœuds"""" dans le modèle de configuration. Les mappages 3D des fonctionnalités (paramètre désactivé) sont globaux, ce qui signifie qu'ils seront partagés entre plusieurs modèles de configuration. Cela peut être utilisé pour économiser le travail de configuration et de maintenance. Les mappages 3D des nœuds (paramètre activé) sont spécifiques à un modèle de configuration.";"Wenn Sie diese Einstellung deaktivieren, können Sie 3D-Objekte im Konfigurationsmodell Features statt """" Nodes """" zuordnen. Feature-3D-Zuordnungen (Einstellung deaktiviert) sind global, d. h. sie werden von mehreren Konfigurationsmodellen gemeinsam genutzt. Dies kann genutzt werden, um Einrichtungs- und Wartungsarbeiten zu sparen. Nodes-3D-Zuordnungen (Einstellung aktiviert) sind spezifisch für ein Konfigurationsmodell.";"Om du inaktiverar den här inställningen kan du mappa 3D-objekt till funktioner i stället för """"noder"""" i konfigurationsmodellen. 3D-mappningar av funktioner (inställningen är inaktiverad) är globala, vilket innebär att de delas mellan flera konfigurationsmodeller. Detta kan användas för att spara installations- och underhållsarbete. 3D-mappningar för noder (inställningen är aktiverad) är specifika för en konfigurationsmodell.";"Wyłączenie tego ustawienia umożliwia mapowanie obiektów 3D na obiekty zamiast na """"karty"""" w modelu konfiguracji. Mapowania 3D operacji (ustawienie wyłączone) mają charakter globalny, co oznacza, że będą współużytkowane przez wiele modeli konfiguracji. Można go użyć do zaoszczędzenia prac konfiguracyjnych i konserwacyjnych. Mapowania kart 3D (ustawienie włączone) są specyficzne dla modelu konfiguracji.";"Ved ?eaktivere denne innstillingen kan du tilordne 3D-objekter til funksjoner i stedet for ""noder"" i konfigurasjonsmodellen. 3D-funksjonstilordninger (innstillingen er deaktivert) er globale, noe som betyr at de deles mellom flere konfigurasjonsmodeller. Dette kan brukes til ?pare oppsett- og vedlikeholdsarbeid. Node 3D-tilordninger (innstillingen er aktivert) er spesifikke for en konfigurasjonsmodell.";"Si desactiva esta opción, podrá asignar objetos 3D a características, en lugar de a ""nodos"" en el modelo de configuración. Las asignaciones 3D de características (ajuste desactivado) son globales, lo que significa que se compartirán entre varios modelos de configuración. Esto puede utilizarse para ahorrar trabajo de configuración y mantenimiento. Las asignaciones 3D de nodos (ajuste activado) son específicas de un modelo de configuración."
quotation;offerte;devis;Angebot;Offert;oferta;tilbud;cotización
Quotation number that is used as reference, this is incremented by one for each quotation that is generated.;Offertenummer dat als referentie wordt gebruikt, dit wordt met één verhoogd voor elk offerte die wordt gegenereerd.;Numéro de devis utilisé comme référence, il est incrémenté de un pour chaque devis généré.;Angebotsnummer, die als Referenz verwendet wird. Sie wird für jedes erstellte Angebot um eins erhöht.;Offertnummer som används som referens, detta ökas med ett för varje offert som genereras.;Numer oferty, który jest używany jako odniesienie i jest zwiększany o jeden dla każdej wygenerowanej oferty;Tilbudsnummer som brukes som referanse, dette økes med en for hvert tilbud som genereres.;Número de cotización que se utiliza como referencia, este se incrementa en uno por cada cotización que se genera.
Next number;Volgende nummer;Numéro suivant;Nächste Nummer;Följande nummer;Następny numer;Neste nummer-;Siguiente número
Reset period;Reset periode;Période de réinitialisation;Periode zurücksetzen;Återställningsperiod;Okres restowania;Tilbakestill periode;Período de reinicio
Daily;Dagelijks;Quotidiennement;Täglich;Dagligen;Codzienny;Daglig;A diario
Monthly;Maandelijks;Mensuel;Monatlich;Månadsvis;Miesięczny;M?dlig;Mensual
Yearly;Jaarlijks;Annuel;Jährlich;Årligen;Roczny;Ulig;Anual
Expire time (days);Verlooptijd (dagen);Période d'expiration (Jours);Verfallszeit (Tage);Förfallodag (dagar);Termin ważności (dni);Utløpstid (dager);Tiempo de caducidad (días)
Amount of days that a submitted quotation is valid. If this timespan has been passed, the status of the quotation is automatically set to expired.;Aantal dagen dat een ingediende offerte geldig is. Indien deze termijn is verstreken, wordt de status van de offerte automatisch op verlopen gezet.;Nombre de jours de validité d'un devis soumis. Si ce délai est dépassé, le statut de l'offre est automatiquement défini comme étant expiré.;"Anzahl der Tage, die ein abgegebenes Angebot gültig ist. Wenn diese Zeitspanne überschritten ist, wird der Status des Angebots automatisch auf """" verfallen"""" gesetzt.";"Antal dagar som en inskickad offert är giltig. Om tidsperioden har gått ut sätts automatiskt statusen för offerten till """"upphörd"""".";Liczba dni, w których przesłana oferta jest ważna. Jeśli ten przedział czasowy został przekroczony, status oferty jest automatycznie ustawiany na wygasły.;Antall dager et innsendt tilbud er gyldig. Hvis dette tidsrommet er passert, settes statusen for tilbudet automatisk til utløpt.;Cantidad de días que una cotización enviada es válida. Si se ha superado este período de tiempo, el estado de la cotización se establece automáticamente como caducado.
Hide quotation discounts;Verberg offerte kortingen;Masquer les remises sur le devis;Angebotsrabatte verbergen;Dölja rabatter på offerter;Ukryj rabat oferty;Skjule tilbudsrabatter;Ocultar descuentos de presupuesto
Enable this if you want to hide the discount options on the quotations screen.;Schakel dit in als u de kortingsopties op het offertescherm wilt verbergen.;Activez cette option si vous souhaitez masquer les options de remise sur l'écran de devis.;Aktivieren Sie diese Option, wenn Sie die Rabattoptionen auf dem Angebotsbildschirm verbergen möchten.;Slå på knappen om du vill dölja rabattalternativen på offertskärmen.;Włącz tę opcję, jeśli chcesz ukryć opcje rabatu na ekranie oferty.;Aktiver dette hvis du vil skjule rabattalternativene p?ilbudsskjermen.;Habilite esto si desea ocultar las opciones de descuento en la pantalla de cotizaciones.
Disable full seller overview;Volledig verkoper overzicht uitschakelen;Désactiver l'aperçu complet du vendeur;Vollständige Verkäuferübersicht nicht anzeigen;Inaktivera fullständig översikt över säljaren;Wyłącz podgląd dla pełnego sprzedawcy;Deaktiver full selgeroversikt;Deshabilitar descripción general completa del vendedor
Enable this if you want sellers to only be able to view their own quotations;Schakel dit in als u wilt dat verkopers alleen hun eigen offertes kunnen bekijken;Activez cette option si vous souhaitez que les vendeurs ne puissent consulter que leurs propres devis.;Aktivieren Sie diese Option, wenn Sie möchten, dass Verkäufer nur ihre eigenen Angebote sehen können.;Slå på knappen om du vill att säljare endast ska kunna se sina egna offerter.;Włącz tę opcję, jeśli chcesz, aby sprzedawcy mogli wyświetlać tylko własne oferty;Aktiver dette hvis du vil at selgere bare skal kunne vise sine egne tilbud;Habilite esto si desea que los vendedores solo puedan ver sus propias cotizaciones
Email subject;Email onderwerp;Objet de l'e-mail;E-Mail-Betreff;E-postämne;Temat emailu;Emne for e-post;Asunto del email
This value will be the subject of an email sent from a quotation.;Deze waarde zal het onderwerp zijn van een e-mail die vanuit een offerte is verzonden.;Cette valeur sera l'objet de l'e-mail envoyé à partir d'un devis.;Dieser Wert ist der Betreff einer E-Mail, die von einem Angebot aus gesendet wird.;Det här värdet kommer att vara ämnet för ett e-postmeddelande som skickas från en offert.;Ta wartość będzie przedmiotem wiadomości e-mail wysłanej z oferty.;Denne verdien vil v? emnet for en e-post sendt fra et tilbud.;Este valor será el asunto de un correo electrónico enviado desde una cotización.
Quotation header fields;Offerte header velden;Champs d'en-tête du devis;Angebotskopf-Felder;Huvudfält för offerter;Pole nagłówka oferty;Tilbudets overskriftsfelt;Campos de encabezado de cotización
